Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,1
2,Machine 1,Job 2,1,13
3,Machine 1,Job 3,13,41
4,Machine 1,Job 4,41,53
5,Machine 1,Job 5,53,149
6,Machine 1,Job 6,149,179
7,Machine 1,Job 7,179,194
8,Machine 1,Job 8,194,253
9,Machine 1,Job 9,253,274
10,Machine 1,Job 10,274,346
11,Machine 1,Job 11,346,365
12,Machine 1,Job 12,365,445
13,Machine 1,Job 13,445,544
14,Machine 1,Job 14,544,578
15,Machine 1,Job 15,578,673
16,Machine 1,Job 16,673,730
17,Machine 1,Job 17,730,810
18,Machine 1,Job 18,810,861
19,Machine 1,Job 19,861,868
20,Machine 1,Job 20,868,934
21,Machine 2,Job 1,1,7
22,Machine 2,Job 2,13,28
23,Machine 2,Job 3,41,134
24,Machine 2,Job 4,134,176
25,Machine 2,Job 5,176,212
26,Machine 2,Job 6,212,287
27,Machine 2,Job 7,287,341
28,Machine 2,Job 8,341,416
29,Machine 2,Job 9,416,490
30,Machine 2,Job 10,490,527
31,Machine 2,Job 11,527,587
32,Machine 2,Job 12,587,655
33,Machine 2,Job 13,655,729
34,Machine 2,Job 14,729,797
35,Machine 2,Job 15,797,807
36,Machine 2,Job 16,807,860
37,Machine 2,Job 17,860,899
38,Machine 2,Job 18,899,921
39,Machine 2,Job 19,921,946
40,Machine 2,Job 20,946,1017
41,Machine 3,Job 1,7,17
42,Machine 3,Job 2,28,105
43,Machine 3,Job 3,134,226
44,Machine 3,Job 4,226,240
45,Machine 3,Job 5,240,305
46,Machine 3,Job 6,305,325
47,Machine 3,Job 7,341,411
48,Machine 3,Job 8,416,441
49,Machine 3,Job 9,490,529
50,Machine 3,Job 10,529,579
51,Machine 3,Job 11,587,593
52,Machine 3,Job 12,655,730
53,Machine 3,Job 13,730,758
54,Machine 3,Job 14,797,836
55,Machine 3,Job 15,836,879
56,Machine 3,Job 16,879,978
57,Machine 3,Job 17,978,1052
58,Machine 3,Job 18,1052,1135
59,Machine 3,Job 19,1135,1212
60,Machine 3,Job 20,1212,1280
61,Machine 4,Job 1,17,45
62,Machine 4,Job 2,105,171
63,Machine 4,Job 3,226,239
64,Machine 4,Job 4,240,267
65,Machine 4,Job 5,305,318
66,Machine 4,Job 6,325,422
67,Machine 4,Job 7,422,492
68,Machine 4,Job 8,492,569
69,Machine 4,Job 9,569,643
70,Machine 4,Job 10,643,660
71,Machine 4,Job 11,660,673
72,Machine 4,Job 12,730,819
73,Machine 4,Job 13,819,833
74,Machine 4,Job 14,836,847
75,Machine 4,Job 15,879,975
76,Machine 4,Job 16,978,996
77,Machine 4,Job 17,1052,1092
78,Machine 4,Job 18,1135,1176
79,Machine 4,Job 19,1212,1283
80,Machine 4,Job 20,1283,1285
81,Machine 5,Job 1,45,114
82,Machine 5,Job 2,171,210
83,Machine 5,Job 3,239,312
84,Machine 5,Job 4,312,398
85,Machine 5,Job 5,398,432
86,Machine 5,Job 6,432,456
87,Machine 5,Job 7,492,514
88,Machine 5,Job 8,569,627
89,Machine 5,Job 9,643,653
90,Machine 5,Job 10,660,663
91,Machine 5,Job 11,673,740
92,Machine 5,Job 12,819,874
93,Machine 5,Job 13,874,969
94,Machine 5,Job 14,969,1029
95,Machine 5,Job 15,1029,1034
96,Machine 5,Job 16,1034,1125
97,Machine 5,Job 17,1125,1190
98,Machine 5,Job 18,1190,1220
99,Machine 5,Job 19,1283,1381
100,Machine 5,Job 20,1381,1385
101,Machine 6,Job 1,114,209
102,Machine 6,Job 2,210,304
103,Machine 6,Job 3,312,366
104,Machine 6,Job 4,398,473
105,Machine 6,Job 5,473,548
106,Machine 6,Job 6,548,582
107,Machine 6,Job 7,582,599
108,Machine 6,Job 8,627,649
109,Machine 6,Job 9,653,677
110,Machine 6,Job 10,677,765
111,Machine 6,Job 11,765,863
112,Machine 6,Job 12,874,902
