Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,10
2,Machine 1,Job 2,10,38
3,Machine 1,Job 3,38,69
4,Machine 1,Job 4,69,95
5,Machine 1,Job 5,95,123
6,Machine 1,Job 6,123,127
7,Machine 1,Job 7,127,173
8,Machine 1,Job 8,173,251
9,Machine 1,Job 9,251,310
10,Machine 1,Job 10,310,348
11,Machine 1,Job 11,348,393
12,Machine 1,Job 12,393,464
13,Machine 1,Job 13,464,491
14,Machine 1,Job 14,491,559
15,Machine 1,Job 15,559,648
16,Machine 1,Job 16,648,722
17,Machine 1,Job 17,722,756
18,Machine 1,Job 18,756,796
19,Machine 1,Job 19,796,804
20,Machine 1,Job 20,804,851
21,Machine 1,Job 21,851,945
22,Machine 1,Job 22,945,1010
23,Machine 1,Job 23,1010,1075
24,Machine 1,Job 24,1075,1101
25,Machine 1,Job 25,1101,1164
26,Machine 1,Job 26,1164,1247
27,Machine 1,Job 27,1247,1331
28,Machine 1,Job 28,1331,1369
29,Machine 1,Job 29,1369,1454
30,Machine 1,Job 30,1454,1506
31,Machine 1,Job 31,1506,1568
32,Machine 1,Job 32,1568,1625
33,Machine 1,Job 33,1625,1663
34,Machine 1,Job 34,1663,1691
35,Machine 1,Job 35,1691,1715
36,Machine 1,Job 36,1715,1804
37,Machine 1,Job 37,1804,1844
38,Machine 1,Job 38,1844,1908
39,Machine 1,Job 39,1908,1970
40,Machine 1,Job 40,1970,2067
41,Machine 1,Job 41,2067,2142
42,Machine 1,Job 42,2142,2229
43,Machine 1,Job 43,2229,2303
44,Machine 1,Job 44,2303,2382
45,Machine 1,Job 45,2382,2446
46,Machine 1,Job 46,2446,2516
47,Machine 1,Job 47,2516,2534
48,Machine 1,Job 48,2534,2536
49,Machine 1,Job 49,2536,2590
50,Machine 1,Job 50,2590,2625
51,Machine 2,Job 1,10,22
52,Machine 2,Job 2,38,42
53,Machine 2,Job 3,69,76
54,Machine 2,Job 4,95,138
55,Machine 2,Job 5,138,167
56,Machine 2,Job 6,167,266
57,Machine 2,Job 7,266,290
58,Machine 2,Job 8,290,380
59,Machine 2,Job 9,380,412
60,Machine 2,Job 10,412,433
61,Machine 2,Job 11,433,496
62,Machine 2,Job 12,496,503
63,Machine 2,Job 13,503,557
64,Machine 2,Job 14,559,620
65,Machine 2,Job 15,648,723
66,Machine 2,Job 16,723,746
67,Machine 2,Job 17,756,794
68,Machine 2,Job 18,796,869
69,Machine 2,Job 19,869,918
70,Machine 2,Job 20,918,968
71,Machine 2,Job 21,968,1033
72,Machine 2,Job 22,1033,1088
73,Machine 2,Job 23,1088,1155
74,Machine 2,Job 24,1155,1232
75,Machine 2,Job 25,1232,1297
76,Machine 2,Job 26,1297,1300
77,Machine 2,Job 27,1331,1365
78,Machine 2,Job 28,1369,1450
79,Machine 2,Job 29,1454,1485
80,Machine 2,Job 30,1506,1514
81,Machine 2,Job 31,1568,1655
82,Machine 2,Job 32,1655,1659
83,Machine 2,Job 33,1663,1722
84,Machine 2,Job 34,1722,1793
85,Machine 2,Job 35,1793,1820
86,Machine 2,Job 36,1820,1888
87,Machine 2,Job 37,1888,1945
88,Machine 2,Job 38,1945,2019
89,Machine 2,Job 39,2019,2066
90,Machine 2,Job 40,2067,2123
91,Machine 2,Job 41,2142,2153
92,Machine 2,Job 42,2229,2269
93,Machine 2,Job 43,2303,2325
94,Machine 2,Job 44,2382,2424
95,Machine 2,Job 45,2446,2492
96,Machine 2,Job 46,2516,2530
97,Machine 2,Job 47,2534,2553
98,Machine 2,Job 48,2553,2569
99,Machine 2,Job 49,2590,2671
100,Machine 2,Job 50,2671,2685
101,Machine 3,Job 1,22,55
102,Machine 3,Job 2,55,81
103,Machine 3,Job 3,81,158
104,Machine 3,Job 4,158,177
105,Machine 3,Job 5,177,233
106,Machine 3,Job 6,266,338
107,Machine 3,Job 7,338,391
108,Machine 3,Job 8,391,404
109,Machine 3,Job 9,412,427
110,Machine 3,Job 10,433,476
111,Machine 3,Job 11,496,589
112,Machine 3,Job 12,589,602
113,Machine 3,Job 13,602,653
114,Machine 3,Job 14,653,739
115,Machine 3,Job 15,739,788
116,Machine 3,Job 16,788,876
117,Machine 3,Job 17,876,924
118,Machine 3,Job 18,924,961
119,Machine 3,Job 19,961,1011
120,Machine 3,Job 20,1011,1094
121,Machine 3,Job 21,1094,1133
122,Machine 3,Job 22,1133,1220
123,Machine 3,Job 23,1220,1263
124,Machine 3,Job 24,1263,1322
125,Machine 3,Job 25,1322,1357
126,Machine 3,Job 26,1357,1455
127,Machine 3,Job 27,1455,1488
128,Machine 3,Job 28,1488,1559
129,Machine 3,Job 29,1559,1635
130,Machine 3,Job 30,1635,1718
131,Machine 3,Job 31,1718,1794
132,Machine 3,Job 32,1794,1809
133,Machine 3,Job 33,1809,1873
134,Machine 3,Job 34,1873,1924
135,Machine 3,Job 35,1924,1932
136,Machine 3,Job 36,1932,2022
137,Machine 3,Job 37,2022,2067
138,Machine 3,Job 38,2067,2146
139,Machine 3,Job 39,2146,2174
140,Machine 3,Job 40,2174,2226
141,Machine 3,Job 41,2226,2306
142,Machine 3,Job 42,2306,2356
143,Machine 3,Job 43,2356,2402
144,Machine 3,Job 44,2424,2483
145,Machine 3,Job 45,2492,2528
146,Machine 3,Job 46,2530,2589
147,Machine 3,Job 47,2589,2600
148,Machine 3,Job 48,2600,2699
149,Machine 3,Job 49,2699,2703
150,Machine 3,Job 50,2703,2792
151,Machine 4,Job 1,55,92
152,Machine 4,Job 2,92,184
153,Machine 4,Job 3,184,192
154,Machine 4,Job 4,192,206
155,Machine 4,Job 5,233,279
156,Machine 4,Job 6,338,357
157,Machine 4,Job 7,391,406
158,Machine 4,Job 8,406,457
159,Machine 4,Job 9,457,529
160,Machine 4,Job 10,529,553
161,Machine 4,Job 11,589,614
162,Machine 4,Job 12,614,694
163,Machine 4,Job 13,694,748
164,Machine 4,Job 14,748,790
165,Machine 4,Job 15,790,805
166,Machine 4,Job 16,876,879
167,Machine 4,Job 17,924,1014
168,Machine 4,Job 18,1014,1077
169,Machine 4,Job 19,1077,1106
170,Machine 4,Job 20,1106,1111
171,Machine 4,Job 21,1133,1222
172,Machine 4,Job 22,1222,1260
173,Machine 4,Job 23,1263,1281
174,Machine 4,Job 24,1322,1375
175,Machine 4,Job 25,1375,1468
176,Machine 4,Job 26,1468,1501
177,Machine 4,Job 27,1501,1594
178,Machine 4,Job 28,1594,1685
179,Machine 4,Job 29,1685,1727
180,Machine 4,Job 30,1727,1790
181,Machine 4,Job 31,1794,1796
182,Machine 4,Job 32,1809,1908
183,Machine 4,Job 33,1908,1991
184,Machine 4,Job 34,1991,2088
185,Machine 4,Job 35,2088,2107
186,Machine 4,Job 36,2107,2145
187,Machine 4,Job 37,2145,2146
188,Machine 4,Job 38,2146,2202
189,Machine 4,Job 39,2202,2280
190,Machine 4,Job 40,2280,2331
191,Machine 4,Job 41,2331,2354
192,Machine 4,Job 42,2356,2431
193,Machine 4,Job 43,2431,2464
194,Machine 4,Job 44,2483,2539
195,Machine 4,Job 45,2539,2572
196,Machine 4,Job 46,2589,2600
197,Machine 4,Job 47,2600,2696
198,Machine 4,Job 48,2699,2783
199,Machine 4,Job 49,2783,2832
200,Machine 4,Job 50,2832,2923
201,Machine 5,Job 1,92,115
202,Machine 5,Job 2,184,278
203,Machine 5,Job 3,278,293
204,Machine 5,Job 4,293,363
205,Machine 5,Job 5,363,373
206,Machine 5,Job 6,373,463
207,Machine 5,Job 7,463,480
208,Machine 5,Job 8,480,550
209,Machine 5,Job 9,550,625
210,Machine 5,Job 10,625,682
211,Machine 5,Job 11,682,694
212,Machine 5,Job 12,694,766
213,Machine 5,Job 13,766,858
214,Machine 5,Job 14,858,904
215,Machine 5,Job 15,904,949
216,Machine 5,Job 16,949,1048
217,Machine 5,Job 17,1048,1084
218,Machine 5,Job 18,1084,1114
219,Machine 5,Job 19,1114,1180
220,Machine 5,Job 20,1180,1212
221,Machine 5,Job 21,1222,1282
222,Machine 5,Job 22,1282,1320
223,Machine 5,Job 23,1320,1370
224,Machine 5,Job 24,1375,1461
225,Machine 5,Job 25,1468,1542
226,Machine 5,Job 26,1542,1567
227,Machine 5,Job 27,1594,1614
228,Machine 5,Job 28,1685,1696
229,Machine 5,Job 29,1727,1741
230,Machine 5,Job 30,1790,1862
231,Machine 5,Job 31,1862,1955
232,Machine 5,Job 32,1955,1972
233,Machine 5,Job 33,1991,2078
234,Machine 5,Job 34,2088,2117
235,Machine 5,Job 35,2117,2180
236,Machine 5,Job 36,2180,2228
237,Machine 5,Job 37,2228,2320
238,Machine 5,Job 38,2320,2352
239,Machine 5,Job 39,2352,2361
240,Machine 5,Job 40,2361,2381
241,Machine 5,Job 41,2381,2391
242,Machine 5,Job 42,2431,2490
243,Machine 5,Job 43,2490,2562
244,Machine 5,Job 44,2562,2567
245,Machine 5,Job 45,2572,2663
246,Machine 5,Job 46,2663,2696
247,Machine 5,Job 47,2696,2736
248,Machine 5,Job 48,2783,2833
249,Machine 5,Job 49,2833,2875
250,Machine 5,Job 50,2923,2986
251,Machine 6,Job 1,115,178
252,Machine 6,Job 2,278,316
253,Machine 6,Job 3,316,369
254,Machine 6,Job 4,369,396
255,Machine 6,Job 5,396,411
256,Machine 6,Job 6,463,526
257,Machine 6,Job 7,526,599
258,Machine 6,Job 8,599,687
259,Machine 6,Job 9,687,715
260,Machine 6,Job 10,715,781
261,Machine 6,Job 11,781,791
262,Machine 6,Job 12,791,856
263,Machine 6,Job 13,858,940
264,Machine 6,Job 14,940,967
265,Machine 6,Job 15,967,1046
266,Machine 6,Job 16,1048,1073
267,Machine 6,Job 17,1084,1126
268,Machine 6,Job 18,1126,1196
269,Machine 6,Job 19,1196,1281
270,Machine 6,Job 20,1281,1362
271,Machine 6,Job 21,1362,1446
272,Machine 6,Job 22,1446,1468
273,Machine 6,Job 23,1468,1491
274,Machine 6,Job 24,1491,1575
275,Machine 6,Job 25,1575,1603
276,Machine 6,Job 26,1603,1685
277,Machine 6,Job 27,1685,1711
278,Machine 6,Job 28,1711,1802
279,Machine 6,Job 29,1802,1900
280,Machine 6,Job 30,1900,1973
281,Machine 6,Job 31,1973,2038
282,Machine 6,Job 32,2038,2072
283,Machine 6,Job 33,2078,2134
284,Machine 6,Job 34,2134,2171
285,Machine 6,Job 35,2180,2254
286,Machine 6,Job 36,2254,2322
287,Machine 6,Job 37,2322,2358
288,Machine 6,Job 38,2358,2424
289,Machine 6,Job 39,2424,2485
290,Machine 6,Job 40,2485,2535
291,Machine 6,Job 41,2535,2554
292,Machine 6,Job 42,2554,2592
293,Machine 6,Job 43,2592,2611
294,Machine 6,Job 44,2611,2654
295,Machine 6,Job 45,2663,2684
296,Machine 6,Job 46,2696,2736
297,Machine 6,Job 47,2736,2784
298,Machine 6,Job 48,2833,2930
299,Machine 6,Job 49,2930,2960
300,Machine 6,Job 50,2986,3023
301,Machine 7,Job 1,178,182
302,Machine 7,Job 2,316,339
303,Machine 7,Job 3,369,452
304,Machine 7,Job 4,452,485
305,Machine 7,Job 5,485,531
306,Machine 7,Job 6,531,619
307,Machine 7,Job 7,619,672
308,Machine 7,Job 8,687,725
309,Machine 7,Job 9,725,759
310,Machine 7,Job 10,781,794
311,Machine 7,Job 11,794,864
312,Machine 7,Job 12,864,953
313,Machine 7,Job 13,953,966
314,Machine 7,Job 14,967,997
315,Machine 7,Job 15,1046,1061
316,Machine 7,Job 16,1073,1093
317,Machine 7,Job 17,1126,1127
318,Machine 7,Job 18,1196,1274
319,Machine 7,Job 19,1281,1329
320,Machine 7,Job 20,1362,1378
321,Machine 7,Job 21,1446,1457
322,Machine 7,Job 22,1468,1502
323,Machine 7,Job 23,1502,1601
324,Machine 7,Job 24,1601,1691
325,Machine 7,Job 25,1691,1719
326,Machine 7,Job 26,1719,1771
327,Machine 7,Job 27,1771,1806
328,Machine 7,Job 28,1806,1888
329,Machine 7,Job 29,1900,1968
