Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,43
2,Machine 1,Job 2,43,83
3,Machine 1,Job 3,83,138
4,Machine 1,Job 4,138,188
5,Machine 1,Job 5,188,215
6,Machine 1,Job 6,215,260
7,Machine 1,Job 7,260,295
8,Machine 1,Job 8,295,318
9,Machine 1,Job 9,318,372
10,Machine 1,Job 10,372,398
11,Machine 1,Job 11,398,486
12,Machine 1,Job 12,486,529
13,Machine 1,Job 13,529,583
14,Machine 1,Job 14,583,626
15,Machine 1,Job 15,626,663
16,Machine 1,Job 16,663,758
17,Machine 1,Job 17,758,844
18,Machine 1,Job 18,844,882
19,Machine 1,Job 19,882,945
20,Machine 1,Job 20,945,1004
21,Machine 2,Job 1,43,134
22,Machine 2,Job 2,134,141
23,Machine 2,Job 3,141,205
24,Machine 2,Job 4,205,242
25,Machine 2,Job 5,242,286
26,Machine 2,Job 6,286,295
27,Machine 2,Job 7,295,371
28,Machine 2,Job 8,371,425
29,Machine 2,Job 9,425,472
30,Machine 2,Job 10,472,531
31,Machine 2,Job 11,531,541
32,Machine 2,Job 12,541,633
33,Machine 2,Job 13,633,728
34,Machine 2,Job 14,728,759
35,Machine 2,Job 15,759,773
36,Machine 2,Job 16,773,796
37,Machine 2,Job 17,844,874
38,Machine 2,Job 18,882,944
39,Machine 2,Job 19,945,1013
40,Machine 2,Job 20,1013,1095
41,Machine 3,Job 1,134,145
42,Machine 3,Job 2,145,158
43,Machine 3,Job 3,205,225
44,Machine 3,Job 4,242,247
45,Machine 3,Job 5,286,350
46,Machine 3,Job 6,350,397
47,Machine 3,Job 7,397,452
48,Machine 3,Job 8,452,488
49,Machine 3,Job 9,488,549
50,Machine 3,Job 10,549,627
51,Machine 3,Job 11,627,676
52,Machine 3,Job 12,676,763
53,Machine 3,Job 13,763,797
54,Machine 3,Job 14,797,851
55,Machine 3,Job 15,851,891
56,Machine 3,Job 16,891,938
57,Machine 3,Job 17,938,1008
58,Machine 3,Job 18,1008,1098
59,Machine 3,Job 19,1098,1191
60,Machine 3,Job 20,1191,1204
61,Machine 4,Job 1,145,158
62,Machine 4,Job 2,158,181
63,Machine 4,Job 3,225,234
64,Machine 4,Job 4,247,345
65,Machine 4,Job 5,350,397
66,Machine 4,Job 6,397,460
67,Machine 4,Job 7,460,464
68,Machine 4,Job 8,488,580
69,Machine 4,Job 9,580,610
70,Machine 4,Job 10,627,715
71,Machine 4,Job 11,715,798
72,Machine 4,Job 12,798,846
73,Machine 4,Job 13,846,869
74,Machine 4,Job 14,869,944
75,Machine 4,Job 15,944,1029
76,Machine 4,Job 16,1029,1113
77,Machine 4,Job 17,1113,1175
78,Machine 4,Job 18,1175,1229
79,Machine 4,Job 19,1229,1240
80,Machine 4,Job 20,1240,1271
81,Machine 5,Job 1,158,238
82,Machine 5,Job 2,238,247
83,Machine 5,Job 3,247,345
84,Machine 5,Job 4,345,417
85,Machine 5,Job 5,417,478
86,Machine 5,Job 6,478,509
87,Machine 5,Job 7,509,585
88,Machine 5,Job 8,585,662
89,Machine 5,Job 9,662,756
90,Machine 5,Job 10,756,825
91,Machine 5,Job 11,825,860
92,Machine 5,Job 12,860,938
93,Machine 5,Job 13,938,989
94,Machine 5,Job 14,989,1060
95,Machine 5,Job 15,1060,1139
96,Machine 5,Job 16,1139,1192
97,Machine 5,Job 17,1192,1246
98,Machine 5,Job 18,1246,1276
99,Machine 5,Job 19,1276,1309
100,Machine 5,Job 20,1309,1365
