5,16,44,80,108,173,193,292,305,382,448,477,519,617,702,737,814,906,940,987
34,101,104,143,163,214,281,293,391,476,513,535,537,618,722,776,860,931,1014,1094
117,119,216,262,273,360,427,444,507,525,560,633,704,763,786,813,939,951,1049,1145
144,146,278,336,375,457,473,492,553,625,672,707,801,851,873,887,961,1007,1118,1208
216,256,283,372,381,465,498,500,617,692,705,746,852,880,952,1037,1057,1117,1151,1268
231,312,378,424,488,513,596,672,694,738,794,860,958,1010,1037,1063,1159,1242,1270,1340
240,389,484,498,504,611,653,729,818,874,940,1030,1088,1131,1207,1242,1317,1320,1367,1406
262,436,559,582,604,662,747,836,921,922,999,1095,1101,1143,1220,1304,1318,1341,1401,1439
272,496,614,679,712,741,818,933,939,1029,1101,1148,1194,1211,1313,1316,1355,1367,1442,1447
363,560,684,714,792,888,941,946,1000,1043,1138,1175,1236,1315,1340,1391,1405,1438,1443,1456
