0,4,18,21,93,147,165,209,229,248,256,259,303,327,352,371,429,432,508,512,514,573,629,638,686,752,755,762,837,880,924,1001,1013,1038,1056,1109,1140,1214,1278,1304,1366,1427,1448,1512,1602,1678,1738,1761,1800,1879,1885,1924,1998,2033,2105,2133,2148,2207,2279,2375,2448,2478,2553,2637,2733,2821,2896,2984,3023,3094,3134,3161,3190,3270,3297,3301,3317,3319,3402,3410,3498,3534,3623,3637,3714,3805,3902,3944,4010,4072,4135,4196,4241,4266,4305,4342,4374,4469,4554,4620
4,18,23,93,147,165,209,229,248,263,271,362,415,441,448,473,479,550,562,624,674,691,694,758,763,771,795,872,916,937,1012,1040,1087,1130,1185,1248,1274,1309,1364,1366,1439,1498,1578,1627,1720,1742,1761,1808,1879,1885,1924,2006,2033,2114,2182,2268,2304,2397,2453,2473,2498,2596,2694,2734,2828,2897,2984,3023,3095,3134,3161,3198,3291,3389,3459,3551,3580,3671,3704,3712,3804,3876,3914,3982,4079,4136,4229,4304,4335,4352,4354,4439,4478,4559,4571,4640,4723,4789,4856,4922
5,23,73,125,153,198,237,264,301,305,362,415,441,448,480,523,550,576,624,674,703,719,773,804,824,910,914,935,970,1015,1088,1100,1147,1186,1263,1305,1377,1390,1409,1501,1543,1578,1627,1720,1798,1808,1861,1920,1993,2092,2125,2181,2215,2243,2268,2338,2397,2453,2521,2575,2596,2694,2779,2828,2897,2978,3072,3095,3106,3184,3282,3292,3389,3477,3551,3623,3671,3768,3826,3867,3902,3985,4040,4079,4144,4229,4304,4347,4390,4418,4443,4496,4559,4606,4643,4723,4789,4875,4922,4945
18,95,142,204,223,246,267,327,358,439,480,532,533,553,592,650,691,750,755,768,808,885,895,946,1035,1036,1114,1131,1180,1200,1211,1222,1320,1389,1449,1535,1576,1656,1690,1747,1794,1812,1899,1949,1954,2013,2067,2080,2178,2188,2282,2364,2397,2421,2497,2570,2590,2682,2687,2773,2821,2866,2917,3001,3094,3182,3274,3357,3368,3382,3448,3539,3597,3686,3744,3771,3860,3948,3986,4032,4048,4111,4157,4230,4322,4326,4387,4469,4526,4540,4567,4652,4744,4771,4863,4875,4919,4962,4976,5061
95,155,204,223,246,267,327,367,439,482,532,553,585,607,693,725,786,788,837,890,980,983,1029,1068,1113,1154,1201,1284,1311,1409,1476,1565,1663,1743,1773,1785,1841,1909,1949,2008,2055,2059,2090,2128,2153,2228,2295,2391,2452,2485,2580,2630,2703,2751,2754,2777,2869,2886,2922,2930,2985,3041,3088,3167,3251,3277,3357,3368,3428,3450,3539,3622,3692,3744,3803,3869,3953,4012,4074,4144,4181,4241,4242,4322,4347,4387,4469,4545,4588,4624,4673,4770,4781,4874,4928,4986,4998,5055,5065,5132
155,203,216,238,299,354,399,434,501,573,624,627,633,714,729,786,798,885,903,980,988,1074,1081,1163,1245,1301,1329,1400,1425,1478,1565,1663,1754,1773,1819,1857,1911,1952,2010,2086,2105,2173,2182,2199,2233,2295,2391,2461,2552,2580,2630,2712,2751,2778,2805,2895,2914,2959,3030,3119,3164,3220,3255,3296,3317,3389,3411,3477,3547,3574,3665,3695,3717,3813,3869,3963,4012,4103,4144,4191,4251,4333,4371,4396,4419,4500,4545,4591,4624,4684,4782,4874,4889,4930,4986,4999,5055,5112,5160,5193
194,216,286,310,354,426,469,501,573,624,714,744,745,808,841,877,937,963,1042,1057,1101,1156,1236,1252,1301,1329,1424,1506,1508,1602,1642,1754,1801,1819,1875,1954,1966,2010,2109,2156,2184,2198,2248,2308,2331,2425,2517,2564,2575,2651,2749,2776,2793,2817,2906,2921,2959,3030,3119,3179,3220,3283,3379,3396,3488,3564,3661,3693,3731,3767,3802,3833,3918,3967,4028,4120,4147,4169,4191,4265,4333,4371,4396,4470,4542,4579,4591,4616,4684,4782,4874,4897,4965,4985,5009,5098,5182,5190,5197,5252
199,286,364,419,426,517,528,571,618,714,744,802,808,841,893,937,1021,1046,1141,1172,1226,1259,1268,1366,1460,1548,1632,1719,1772,1859,1863,1920,1961,2036,2096,2110,2139,2204,2280,2353,2355,2386,2399,2490,2503,2584,2632,2668,2759,2817,2855,2952,2965,2997,3037,3038,3135,3212,3271,3332,3334,3428,3523,3548,3639,3729,3760,3766,3860,3867,3876,3964,4010,4058,4148,4152,4214,4248,4341,4392,4459,4503,4574,4621,4646,4651,4716,4796,4833,4915,4995,5021,5085,5139,5162,5223,5241,5268,5274,5338
220,364,419,478,517,560,571,634,702,765,802,830,916,958,993,1048,1070,1141,1172,1226,1285,1295,1366,1460,1548,1632,1719,1772,1866,1932,1966,2006,2036,2129,2157,2168,2244,2328,2370,2447,2459,2541,2595,2607,2700,2721,2783,2830,2929,2993,3013,3097,3179,3221,3310,3315,3316,3394,3403,3491,3509,3572,3633,3675,3729,3788,3826,3871,3885,3929,4026,4114,4127,4175,4219,4222,4261,4341,4432,4475,4503,4593,4647,4686,4726,4810,4878,4935,4998,5068,5124,5128,5152,5192,5223,5253,5273,5296,5328,5341
299,419,485,557,599,604,674,675,765,851,863,916,1014,1033,1132,1201,1290,1369,1447,1517,1564,1657,1727,1779,1786,1867,1905,1994,2054,2096,2156,2184,2186,2222,2279,2378,2399,2456,2470,2522,2556,2609,2641,2719,2784,2822,2898,2993,3049,3145,3221,3284,3289,3344,3420,3475,3497,3590,3678,3697,3785,3857,3914,3939,3999,4039,4123,4164,4253,4293,4332,4391,4442,4483,4574,4610,4685,4731,4736,4748,4843,4874,4881,4925,5001,5023,5069,5086,5123,5129,5143,5192,5234,5242,5254,5273,5296,5322,5342,5363
