0,4,5,14,19,54,93,144,160,214,233,297,349,362,380,476,493,558,584,674
4,20,44,66,159,173,246,270,281,368,446,494,581,615,683,689,701,793,809,855
20,44,66,159,173,246,270,309,368,446,507,581,615,683,692,786,818,901,988,1030
40,53,115,161,230,263,309,368,405,507,537,621,672,756,786,818,905,988,1087,1121
53,80,140,197,287,345,368,449,538,578,639,672,762,828,856,905,995,1093,1121,1208
69,140,197,287,360,361,449,544,578,639,662,762,854,856,903,995,1093,1108,1200,1269
86,191,284,360,381,438,544,607,663,703,781,854,953,993,1017,1088,1117,1200,1269,1304
134,279,342,409,490,588,619,716,774,824,893,965,993,1017,1051,1117,1178,1257,1350,1357
223,342,439,490,588,632,716,774,860,893,965,998,1060,1067,1117,1212,1219,1350,1389,1425
235,439,509,579,632,716,775,860,915,964,1047,1132,1160,1214,1248,1295,1326,1398,1435,1475
