14,25,36,87,105,187,233,243,295,383,430,500,537,549,627,688,741,814,905,985,1034,1071,1161,1208,1213,1260,1264,1297,1370,1461,1557,1636,1727,1766,1836,1866,1962,2004,2062,2154,2212,2275,2352,2373,2400,2484,2578,2656,2713,2763
45,52,147,188,285,317,325,361,389,424,470,508,629,699,750,815,876,952,1016,1087,1114,1181,1219,1253,1334,1351,1405,1424,1457,1552,1625,1685,1775,1856,1862,1901,2027,2081,2087,2177,2278,2348,2401,2417,2488,2586,2603,2674,2778,2830
55,152,245,321,335,339,438,522,562,606,672,682,728,742,813,849,939,1044,1048,1129,1192,1208,1305,1378,1434,1464,1518,1537,1568,1659,1744,1816,1853,1910,1964,2042,2065,2121,2152,2273,2285,2388,2418,2513,2608,2610,2663,2720,2840,2904
60,206,291,333,409,477,543,557,638,668,696,729,788,869,948,1008,1040,1120,1162,1206,1230,1282,1372,1460,1489,1538,1546,1645,1722,1807,1837,1931,1945,2002,2003,2069,2137,2141,2209,2360,2408,2428,2457,2584,2616,2685,2702,2763,2908,2944
63,296,355,424,499,545,558,646,648,746,786,857,873,963,985,1030,1089,1182,1245,1259,1344,1346,1443,1503,1514,1590,1683,1720,1792,1877,1941,2014,2025,2095,2104,2126,2234,2263,2346,2405,2502,2533,2576,2642,2652,2784,2829,2863,2978,3022
145,357,422,483,526,556,624,717,744,787,852,873,972,1022,1093,1108,1149,1227,1292,1374,1464,1534,1552,1585,1605,1702,1729,1807,1869,1927,1976,2087,2104,2200,2258,2259,2286,2363,2459,2502,2596,2599,2697,2726,2744,2807,2836,2865,3004,3088
203,438,477,513,595,619,699,736,840,841,919,932,1020,1050,1100,1164,1254,1346,1382,1475,1513,1547,1606,1642,1723,1766,1837,1839,1964,2056,2145,2178,2216,2277,2329,2367,2433,2503,2556,2600,2606,2703,2731,2735,2772,2881,2916,2946,3079,3108
254,511,529,531,660,732,812,897,903,939,968,1034,1066,1127,1214,1292,1374,1468,1506,1551,1554,1577,1644,1734,1748,1839,1906,1966,2026,2127,2149,2236,2308,2310,2409,2445,2521,2592,2629,2634,2681,2787,2808,2834,2863,2915,2993,3006,3109,3178
297,544,580,664,753,808,904,957,1044,1047,1145,1147,1205,1240,1322,1379,1442,1527,1578,1664,1733,1770,1822,1904,1943,2013,2062,2100,2116,2194,2278,2376,2383,2409,2480,2526,2581,2632,2681,2755,2811,2835,2876,2893,2896,2990,3054,3130,3174,3190
384,639,692,779,862,936,968,1060,1089,1174,1176,1254,1336,1364,1433,1498,1570,1651,1714,1773,1806,1851,1930,2023,2096,2127,2163,2184,2283,2352,2412,2459,2546,2599,2652,2674,2726,2756,2832,2899,2974,2995,2998,3057,3096,3100,3103,3151,3185,3195
