Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,7
2,Machine 1,Job 2,23,72
3,Machine 1,Job 3,101,118
4,Machine 1,Job 4,154,200
5,Machine 1,Job 5,203,293
6,Machine 1,Job 6,317,349
7,Machine 1,Job 7,387,401
8,Machine 1,Job 8,428,519
9,Machine 1,Job 9,572,578
10,Machine 1,Job 10,598,690
11,Machine 1,Job 11,696,749
12,Machine 1,Job 12,779,785
13,Machine 1,Job 13,837,925
14,Machine 1,Job 14,958,1002
15,Machine 1,Job 15,1004,1087
16,Machine 1,Job 16,1098,1111
17,Machine 1,Job 17,1196,1249
18,Machine 1,Job 18,1265,1300
19,Machine 1,Job 19,1305,1386
20,Machine 1,Job 20,1434,1480
21,Machine 1,Job 21,1480,1562
22,Machine 1,Job 22,1587,1633
23,Machine 1,Job 23,1635,1694
24,Machine 1,Job 24,1747,1786
25,Machine 1,Job 25,1833,1864
26,Machine 1,Job 26,1868,1930
27,Machine 1,Job 27,1937,2020
28,Machine 1,Job 28,2027,2100
29,Machine 1,Job 29,2110,2166
30,Machine 1,Job 30,2171,2228
31,Machine 1,Job 31,2235,2289
32,Machine 1,Job 32,2289,2376
33,Machine 1,Job 33,2391,2456
34,Machine 1,Job 34,2480,2499
35,Machine 1,Job 35,2527,2617
36,Machine 1,Job 36,2617,2688
37,Machine 1,Job 37,2692,2761
38,Machine 1,Job 38,2782,2861
39,Machine 1,Job 39,2881,2971
40,Machine 1,Job 40,2978,3057
41,Machine 1,Job 41,3117,3124
42,Machine 1,Job 42,3128,3226
43,Machine 1,Job 43,3226,3295
44,Machine 1,Job 44,3341,3397
45,Machine 1,Job 45,3453,3520
46,Machine 1,Job 46,3520,3614
47,Machine 1,Job 47,3630,3695
48,Machine 1,Job 48,3717,3781
49,Machine 1,Job 49,3783,3829
50,Machine 1,Job 50,3836,3905
51,Machine 1,Job 51,3921,4014
52,Machine 1,Job 52,4035,4060
53,Machine 1,Job 53,4103,4167
54,Machine 1,Job 54,4214,4275
55,Machine 1,Job 55,4318,4367
