Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,3
2,Machine 1,Job 2,26,40
3,Machine 1,Job 3,82,119
4,Machine 1,Job 4,203,283
5,Machine 1,Job 5,305,307
6,Machine 1,Job 6,377,402
7,Machine 1,Job 7,487,530
8,Machine 1,Job 8,560,577
9,Machine 1,Job 9,634,717
10,Machine 1,Job 10,731,784
11,Machine 1,Job 11,861,898
12,Machine 1,Job 12,943,969
13,Machine 1,Job 13,999,1096
14,Machine 1,Job 14,1187,1205
15,Machine 1,Job 15,1275,1276
16,Machine 1,Job 16,1370,1386
17,Machine 1,Job 17,1416,1484
18,Machine 1,Job 18,1490,1530
19,Machine 1,Job 19,1574,1633
20,Machine 1,Job 20,1737,1823
21,Machine 1,Job 21,1830,1856
22,Machine 1,Job 22,1902,1971
23,Machine 1,Job 23,2128,2169
24,Machine 1,Job 24,2183,2260
25,Machine 1,Job 25,2267,2335
26,Machine 1,Job 26,2339,2400
27,Machine 1,Job 27,2406,2490
28,Machine 1,Job 28,2560,2650
29,Machine 1,Job 29,2776,2782
30,Machine 1,Job 30,2796,2855
31,Machine 1,Job 31,2855,2954
32,Machine 1,Job 32,2957,3011
33,Machine 1,Job 33,3068,3145
34,Machine 1,Job 34,3168,3244
35,Machine 1,Job 35,3289,3360
36,Machine 1,Job 36,3445,3511
37,Machine 1,Job 37,3569,3609
38,Machine 1,Job 38,3664,3740
39,Machine 1,Job 39,3780,3826
40,Machine 1,Job 40,3962,4000
41,Machine 1,Job 41,4133,4149
42,Machine 1,Job 42,4149,4167
43,Machine 1,Job 43,4245,4308
44,Machine 1,Job 44,4308,4352
45,Machine 1,Job 45,4401,4454
46,Machine 1,Job 46,4651,4661
47,Machine 1,Job 47,4697,4788
48,Machine 1,Job 48,4841,4934
49,Machine 1,Job 49,4964,5037
50,Machine 1,Job 50,5087,5152
51,Machine 1,Job 51,5201,5249
52,Machine 1,Job 52,5388,5394
53,Machine 1,Job 53,5460,5472
54,Machine 1,Job 54,5511,5588
55,Machine 1,Job 55,5689,5756
56,Machine 1,Job 56,5770,5791
57,Machine 1,Job 57,5957,6013
58,Machine 1,Job 58,6050,6129
59,Machine 1,Job 59,6205,6268
60,Machine 1,Job 60,6310,6365
61,Machine 1,Job 61,6410,6417
62,Machine 1,Job 62,6466,6476
63,Machine 1,Job 63,6476,6545
64,Machine 1,Job 64,6583,6640
65,Machine 1,Job 65,6653,6734
66,Machine 1,Job 66,6767,6840
67,Machine 1,Job 67,6934,6991
68,Machine 1,Job 68,6991,7048
69,Machine 1,Job 69,7145,7221
70,Machine 1,Job 70,7289,7330
71,Machine 1,Job 71,7401,7417
72,Machine 1,Job 72,7418,7496
73,Machine 1,Job 73,7561,7631
74,Machine 1,Job 74,7702,7704
75,Machine 1,Job 75,7763,7847
76,Machine 1,Job 76,7869,7954
77,Machine 1,Job 77,8021,8065
78,Machine 1,Job 78,8070,8082
79,Machine 1,Job 79,8115,8133
80,Machine 1,Job 80,8162,8218
81,Machine 1,Job 81,8298,8345
82,Machine 1,Job 82,8373,8464
83,Machine 1,Job 83,8479,8505
84,Machine 1,Job 84,8537,8594
85,Machine 1,Job 85,8639,8712
86,Machine 1,Job 86,8748,8778
87,Machine 1,Job 87,8807,8903
88,Machine 1,Job 88,8954,9004
89,Machine 1,Job 89,9095,9129
90,Machine 1,Job 90,9207,9302
91,Machine 1,Job 91,9302,9385
92,Machine 1,Job 92,9458,9507
93,Machine 1,Job 93,9580,9622
94,Machine 1,Job 94,9690,9701
95,Machine 1,Job 95,9716,9758
96,Machine 1,Job 96,9843,9856
97,Machine 1,Job 97,9919,9984
98,Machine 1,Job 98,9984,10056
99,Machine 1,Job 99,10092,10168
100,Machine 1,Job 100,10215,10274
101,Machine 1,Job 101,10359,10390
102,Machine 1,Job 102,10441,10467
103,Machine 1,Job 103,10541,10600
104,Machine 1,Job 104,10621,10694
105,Machine 1,Job 105,10768,10777
106,Machine 1,Job 106,10777,10797
107,Machine 1,Job 107,10799,10881
108,Machine 1,Job 108,10901,10976
109,Machine 1,Job 109,11010,11103
110,Machine 1,Job 110,11103,11146
111,Machine 1,Job 111,11229,11312
112,Machine 1,Job 112,11405,11453
113,Machine 1,Job 113,11579,11613
114,Machine 1,Job 114,11720,11755
115,Machine 1,Job 115,11797,11880
116,Machine 1,Job 116,11920,11950
117,Machine 1,Job 117,12029,12105
118,Machine 1,Job 118,12149,12177
119,Machine 1,Job 119,12199,12268
120,Machine 1,Job 120,12338,12344
121,Machine 1,Job 121,12356,12411
122,Machine 1,Job 122,12471,12517
123,Machine 1,Job 123,12610,12620
124,Machine 1,Job 124,12674,12695
125,Machine 1,Job 125,12720,12767
126,Machine 1,Job 126,12807,12898
127,Machine 1,Job 127,12915,12981
128,Machine 1,Job 128,13054,13116
129,Machine 1,Job 129,13122,13199
130,Machine 1,Job 130,13273,13311
131,Machine 1,Job 131,13347,13381
132,Machine 1,Job 132,13429,13479
133,Machine 1,Job 133,13497,13585
134,Machine 1,Job 134,13592,13620
135,Machine 1,Job 135,13620,13656
136,Machine 1,Job 136,13708,13717
137,Machine 1,Job 137,13844,13854
