20,39,71,142,186,217,298,375,416,510,568,626,708,771,869,965,1040,1122,1171,1246
32,57,142,186,215,298,375,416,488,565,626,708,771,869,965,1001,1107,1159,1246,1336
39,142,186,215,298,375,413,482,565,614,708,771,869,965,1001,1086,1159,1204,1336,1357
131,186,215,298,364,413,482,537,614,708,771,869,965,1001,1040,1137,1181,1289,1341,1446
139,213,266,348,397,482,537,614,708,771,869,965,1001,1040,1108,1181,1239,1334,1419,1507
187,237,323,397,482,537,614,685,771,869,913,1001,1040,1108,1181,1239,1334,1419,1487,1529
203,261,397,482,537,614,681,771,869,913,952,1026,1108,1181,1239,1334,1413,1487,1504,1542
248,343,419,494,614,681,769,843,882,932,1015,1108,1162,1236,1327,1337,1487,1504,1518,1558
343,410,465,562,681,769,843,873,929,1015,1083,1162,1236,1291,1335,1379,1500,1518,1558,1598
384,429,515,628,710,782,873,905,1015,1082,1162,1228,1278,1299,1362,1471,1518,1548,1598,1625
