<<<<<<< HEAD
4,75,151,269,325,422,486,556,636,692,799,869,1017,1109,1183,1329,1426,1537,1611,1772
60,150,187,283,405,454,556,627,665,734,833,949,1109,1140,1253,1402,1482,1574,1702,1808
150,182,250,345,417,476,600,639,731,828,919,1046,1129,1223,1337,1440,1574,1643,1727,1872
159,229,299,366,441,556,606,677,828,906,1003,1102,1190,1303,1400,1535,1639,1726,1803,1918
162,234,366,396,452,570,676,761,875,971,1093,1184,1281,1394,1472,1576,1667,1738,1865,1939
164,308,369,433,503,648,693,792,948,1054,1184,1265,1339,1472,1550,1617,1693,1774,1939,1992
168,319,371,476,563,693,738,891,1002,1146,1234,1329,1409,1515,1583,1670,1756,1844,1983,2002
223,371,470,563,599,735,833,978,1043,1225,1253,1403,1429,1552,1670,1676,1786,1915,1991,2073
229,432,497,566,692,788,922,1011,1091,1253,1341,1429,1515,1577,1673,1745,1833,1972,2049,2076
262,492,541,593,788,819,985,1091,1108,1271,1408,1513,1551,1619,1701,1826,1921,2038,2058,2115
=======
4,75,151,250,347,411,481,561,617,724,794,942,1034,1108,1254,1351,1462,1536,1697,1791
60,150,187,330,379,481,552,590,659,758,874,1034,1065,1178,1327,1407,1499,1627,1733,1805
150,182,250,342,401,525,564,656,753,844,971,1054,1148,1262,1365,1499,1568,1652,1797,1867
159,229,299,366,481,531,602,753,831,928,1027,1115,1228,1325,1460,1564,1651,1728,1843,1888
162,234,366,377,495,601,686,800,896,1018,1109,1206,1319,1397,1501,1592,1663,1790,1864,1918
164,308,369,428,573,618,717,873,979,1109,1190,1264,1397,1475,1542,1618,1699,1864,1917,1955
168,319,371,488,618,663,816,927,1071,1159,1254,1334,1440,1508,1595,1681,1769,1908,1927,1998
223,371,470,524,660,758,903,968,1150,1178,1328,1354,1477,1595,1601,1711,1840,1916,1998,2085
229,432,497,617,713,847,936,1016,1178,1266,1354,1440,1502,1598,1670,1758,1897,1974,2001,2088
262,492,541,713,744,910,1016,1033,1196,1333,1438,1476,1544,1626,1751,1846,1963,1983,2040,2115
>>>>>>> 565ed13600407c2a2200453f8ab92048c82b3da6
