23,89,155,234,382,480,549,648,728,867,956,1013,1162,1261,1341,1461,1532,1668,1762,1822,1950,1979,2098,2225,2344,2482,2550,2629,2763,2890,3112,3147,3208,3289,3368,3553,3620,3777,3826,3861,3971,4053,4185,4201,4305,4416,4532,4638,4676,4786,4941,4975,5173,5320,5420,5472,5551,5658,5778,5844,5948,6089,6179,6252,6367,6437,6499,6606,6754,6830,6908,7038,7149,7235,7330,7534,7543,7696,7815,8024,8122,8261,8367,8534,8633,8736,8815,8926,9018,9141,9288,9398,9512,9574,9756,9796,9887,9961,10079,10430
29,123,158,254,386,537,569,662,793,956,989,1076,1186,1341,1403,1475,1567,1670,1779,1825,1965,2054,2105,2311,2374,2529,2563,2662,2781,2958,3115,3198,3242,3365,3436,3569,3712,3782,3827,3905,4017,4132,4201,4229,4355,4485,4572,4676,4704,4809,4961,5070,5203,5351,5448,5528,5649,5705,5802,5869,5971,6091,6243,6324,6405,6483,6550,6661,6801,6879,6952,7129,7162,7261,7385,7543,7630,7756,7845,8047,8216,8355,8434,8582,8696,8767,8851,8949,9115,9208,9368,9422,9520,9625,9782,9835,9948,10048,10133,10443
31,124,159,258,470,562,588,681,824,957,1064,1171,1228,1361,1430,1550,1579,1717,1780,1886,2051,2081,2176,2347,2424,2541,2571,2716,2841,3017,3154,3223,3335,3436,3503,3668,3744,3796,3861,4000,4078,4133,4203,4257,4385,4524,4602,4680,4792,4876,5000,5093,5272,5390,5504,5586,5686,5772,5868,5922,6051,6163,6283,6398,6430,6531,6641,6708,6828,6919,7027,7137,7198,7360,7400,7622,7722,7818,7939,8130,8271,8392,8527,8644,8760,8851,8939,9023,9200,9281,9376,9472,9577,9639,9808,9871,10015,10067,10223,10480
101,135,182,272,484,564,597,780,920,1053,1149,1180,1275,1421,1520,1566,1640,1767,1851,1956,2069,2146,2270,2399,2477,2555,2629,2805,2925,3090,3223,3288,3352,3462,3574,3690,3748,3820,3934,4063,4085,4151,4223,4338,4444,4602,4624,4717,4824,4937,5019,5154,5317,5431,5509,5648,5741,5826,5892,6019,6144,6242,6344,6405,6499,6616,6685,6790,6856,7012,7077,7183,7288,7363,7492,7685,7793,7887,8037,8154,8323,8451,8541,8664,8784,8866,9005,9060,9267,9376,9463,9485,9606,9648,9866,9937,10060,10159,10272,10496
128,142,232,322,494,573,656,820,937,1085,1156,1209,1284,1451,1566,1630,1704,1826,1931,1978,2105,2178,2285,2429,2496,2596,2720,2824,2999,3171,3236,3352,3447,3494,3599,3706,3808,3876,3970,4068,4110,4216,4294,4399,4530,4616,4717,4750,4915,5019,5114,5226,5321,5453,5597,5731,5770,5891,5990,6112,6207,6289,6405,6490,6537,6625,6712,6800,6944,7036,7164,7251,7363,7460,7559,7756,7840,7974,8115,8211,8330,8518,8566,8734,8863,8962,9053,9151,9364,9389,9482,9526,9644,9712,9931,9982,10159,10241,10370,10590
132,222,322,383,513,593,742,843,953,1095,1185,1218,1382,1503,1617,1642,1753,1848,1951,2053,2148,2271,2338,2480,2566,2664,2808,2879,3053,3191,3260,3357,3457,3538,3609,3715,3831,3911,4015,4079,4173,4245,4338,4442,4572,4634,4722,4826,4934,5033,5155,5256,5354,5503,5663,5770,5820,5929,6006,6194,6257,6347,6446,6505,6620,6685,6743,6864,6945,7125,7251,7314,7418,7559,7634,7788,7852,8062,8159,8272,8343,8566,8641,8783,8899,9017,9150,9217,9386,9392,9492,9605,9653,9808,9933,10068,10240,10320,10411,10599
213,303,362,477,544,684,809,876,974,1111,1204,1316,1404,1563,1619,1713,1764,1940,2049,2138,2211,2338,2424,2526,2569,2676,2838,2968,3059,3260,3291,3439,3461,3550,3641,3754,3871,3992,4067,4098,4245,4308,4391,4476,4603,4698,4764,4895,5016,5094,5204,5349,5432,5516,5669,5779,5913,5958,6067,6248,6300,6381,6460,6516,6638,6722,6836,6935,7002,7167,7293,7316,7489,7603,7710,7791,7943,8123,8223,8343,8427,8594,8735,8866,8968,9055,9170,9297,9392,9482,9552,9642,9733,9902,10011,10142,10264,10392,10467,10612
215,362,459,505,614,746,840,881,1050,1114,1216,1404,1501,1599,1699,1738,1851,1985,2135,2201,2302,2353,2516,2569,2664,2724,2867,3003,3097,3261,3304,3444,3502,3571,3685,3796,3899,4040,4089,4122,4300,4326,4434,4517,4689,4738,4814,4953,5048,5129,5260,5432,5478,5562,5736,5807,5955,6017,6161,6262,6313,6397,6500,6532,6667,6779,6902,6947,7082,7181,7302,7373,7530,7693,7791,7886,7988,8217,8288,8379,8476,8686,8781,8964,9018,9103,9233,9353,9426,9525,9621,9732,9828,9984,10078,10145,10271,10397,10504,10619
216,365,460,532,631,802,881,962,1052,1185,1303,1428,1535,1609,1703,1794,1919,2079,2167,2230,2334,2432,2568,2598,2701,2746,2886,3016,3189,3284,3341,3483,3571,3633,3771,3802,3946,4042,4120,4135,4322,4362,4464,4550,4738,4795,4848,4962,5120,5191,5357,5477,5561,5661,5797,5875,5985,6080,6209,6293,6393,6487,6516,6616,6758,6822,6943,7025,7141,7250,7309,7460,7573,7764,7866,7965,8062,8260,8379,8476,8567,8770,8875,8991,9103,9179,9311,9380,9491,9603,9660,9828,9911,10057,10145,10227,10334,10452,10524,10661
269,416,484,574,712,830,935,984,1071,1245,1344,1442,1592,1670,1744,1838,2018,2146,2168,2235,2432,2521,2585,2628,2746,2826,2959,3109,3202,3293,3371,3495,3581,3712,3792,3898,3947,4092,4132,4169,4331,4384,4509,4629,4744,4832,4934,5045,5136,5290,5368,5491,5597,5694,5807,5941,6025,6093,6236,6299,6420,6515,6565,6711,6796,6851,6956,7092,7224,7309,7401,7506,7659,7830,7940,8062,8158,8318,8415,8563,8656,8841,8953,9041,9178,9254,9324,9420,9514,9643,9748,9835,10003,10145,10210,10299,10338,10524,10601,10670
