28,57,186,214,307,389,566,600,718,776,825,918,955,1022,1169,1257,1376,1423,1604,1632
48,124,187,217,329,430,586,674,719,815,864,955,1022,1108,1171,1342,1422,1503,1629,1661
59,126,204,314,402,517,609,709,778,842,910,990,1089,1171,1242,1360,1501,1554,1641,1744
98,128,223,376,437,599,631,778,828,856,968,1037,1105,1217,1336,1432,1523,1617,1687,1771
104,168,225,381,476,607,703,811,856,941,1004,1050,1130,1281,1387,1499,1543,1677,1747,1843
168,224,301,447,542,632,730,839,908,967,1050,1106,1213,1303,1485,1543,1639,1747,1830,1858
174,301,358,542,632,730,806,886,951,1002,1064,1172,1255,1392,1543,1599,1714,1786,1833,1867
196,348,447,617,697,781,819,920,963,1064,1087,1231,1340,1477,1549,1600,1715,1819,1854,1889
229,408,544,672,744,810,912,961,980,1067,1152,1303,1411,1483,1595,1690,1752,1824,1866,1899
307,472,549,742,771,906,937,962,1059,1118,1182,1340,1464,1537,1637,1704,1766,1833,1899,1990
