Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,14
2,Machine 1,Job 2,37,39
3,Machine 1,Job 3,39,92
4,Machine 1,Job 4,163,169
5,Machine 1,Job 5,171,181
6,Machine 1,Job 6,210,254
7,Machine 1,Job 7,298,301
8,Machine 1,Job 8,301,324
9,Machine 1,Job 9,386,416
10,Machine 1,Job 10,453,486
11,Machine 1,Job 11,495,557
12,Machine 1,Job 12,613,656
13,Machine 1,Job 13,697,721
14,Machine 1,Job 14,745,809
15,Machine 1,Job 15,827,862
16,Machine 1,Job 16,862,924
17,Machine 1,Job 17,1002,1017
18,Machine 1,Job 18,1017,1083
19,Machine 1,Job 19,1130,1176
20,Machine 1,Job 20,1202,1264
21,Machine 1,Job 21,1308,1357
22,Machine 1,Job 22,1357,1430
23,Machine 1,Job 23,1494,1525
24,Machine 1,Job 24,1528,1598
25,Machine 1,Job 25,1610,1689
26,Machine 1,Job 26,1702,1772
27,Machine 1,Job 27,1824,1870
28,Machine 1,Job 28,1880,1959
29,Machine 1,Job 29,1986,2043
30,Machine 1,Job 30,2090,2134
31,Machine 1,Job 31,2177,2208
32,Machine 1,Job 32,2208,2297
33,Machine 1,Job 33,2297,2383
34,Machine 1,Job 34,2383,2466
35,Machine 1,Job 35,2483,2542
36,Machine 1,Job 36,2542,2640
37,Machine 1,Job 37,2642,2705
38,Machine 1,Job 38,2705,2787
39,Machine 1,Job 39,2874,2878
40,Machine 1,Job 40,2878,2934
41,Machine 1,Job 41,2938,3029
42,Machine 1,Job 42,3122,3126
43,Machine 1,Job 43,3171,3182
44,Machine 1,Job 44,3182,3261
45,Machine 1,Job 45,3316,3345
46,Machine 1,Job 46,3356,3443
47,Machine 1,Job 47,3443,3541
48,Machine 1,Job 48,3554,3596
49,Machine 1,Job 49,3600,3689
50,Machine 1,Job 50,3689,3741
51,Machine 1,Job 51,3741,3822
52,Machine 1,Job 52,3822,3871
53,Machine 1,Job 53,3912,3963
54,Machine 1,Job 54,3963,4055
55,Machine 1,Job 55,4058,4153
56,Machine 1,Job 56,4196,4237
57,Machine 1,Job 57,4252,4301
58,Machine 1,Job 58,4326,4348
59,Machine 1,Job 59,4378,4439
60,Machine 1,Job 60,4512,4514
61,Machine 1,Job 61,4541,4576
62,Machine 1,Job 62,4647,4666
63,Machine 1,Job 63,4756,4759
64,Machine 1,Job 64,4774,4826
65,Machine 1,Job 65,4842,4895
66,Machine 1,Job 66,4908,4992
67,Machine 1,Job 67,5007,5012
68,Machine 1,Job 68,5050,5076
69,Machine 1,Job 69,5076,5172
70,Machine 1,Job 70,5192,5194
71,Machine 1,Job 71,5194,5288
72,Machine 1,Job 72,5312,5334
73,Machine 1,Job 73,5343,5424
74,Machine 1,Job 74,5484,5493
