Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,32
2,Machine 1,Job 2,32,88
3,Machine 1,Job 3,88,103
4,Machine 1,Job 4,111,137
5,Machine 1,Job 5,165,172
6,Machine 1,Job 6,228,261
7,Machine 1,Job 7,268,309
8,Machine 1,Job 8,312,392
9,Machine 1,Job 9,449,477
10,Machine 1,Job 10,477,554
11,Machine 1,Job 11,581,611
12,Machine 1,Job 12,648,664
13,Machine 1,Job 13,705,753
14,Machine 1,Job 14,753,841
15,Machine 1,Job 15,860,877
16,Machine 1,Job 16,877,963
17,Machine 1,Job 17,1005,1039
18,Machine 1,Job 18,1039,1137
19,Machine 1,Job 19,1165,1234
20,Machine 1,Job 20,1234,1274
21,Machine 1,Job 21,1274,1366
22,Machine 1,Job 22,1366,1463
23,Machine 1,Job 23,1473,1551
24,Machine 1,Job 24,1579,1629
25,Machine 1,Job 25,1647,1708
26,Machine 1,Job 26,1708,1756
27,Machine 1,Job 27,1756,1828
28,Machine 1,Job 28,1880,1896
29,Machine 1,Job 29,1910,1976
30,Machine 1,Job 30,1985,2047
31,Machine 1,Job 31,2047,2132
32,Machine 1,Job 32,2132,2188
33,Machine 1,Job 33,2245,2264
34,Machine 1,Job 34,2264,2318
35,Machine 1,Job 35,2318,2381
36,Machine 1,Job 36,2398,2457
37,Machine 1,Job 37,2493,2515
38,Machine 1,Job 38,2532,2606
39,Machine 1,Job 39,2606,2697
40,Machine 1,Job 40,2697,2771
41,Machine 1,Job 41,2780,2801
42,Machine 1,Job 42,2801,2889
43,Machine 1,Job 43,2910,2953
44,Machine 1,Job 44,2962,3031
45,Machine 1,Job 45,3060,3083
46,Machine 1,Job 46,3090,3120
47,Machine 1,Job 47,3149,3162
48,Machine 1,Job 48,3211,3261
49,Machine 1,Job 49,3263,3311
50,Machine 1,Job 50,3389,3400
51,Machine 2,Job 1,32,35
52,Machine 2,Job 2,88,101
53,Machine 2,Job 3,103,137
54,Machine 2,Job 4,161,172
55,Machine 2,Job 5,172,261
56,Machine 2,Job 6,261,309
57,Machine 2,Job 7,344,392
58,Machine 2,Job 8,446,477
59,Machine 2,Job 9,477,529
60,Machine 2,Job 10,575,611
61,Machine 2,Job 11,611,664
62,Machine 2,Job 12,664,753
63,Machine 2,Job 13,782,803
64,Machine 2,Job 14,848,877
65,Machine 2,Job 15,904,955
66,Machine 2,Job 16,1019,1039
67,Machine 2,Job 17,1071,1131
68,Machine 2,Job 18,1137,1234
69,Machine 2,Job 19,1238,1266
70,Machine 2,Job 20,1274,1359
71,Machine 2,Job 21,1433,1441
72,Machine 2,Job 22,1463,1551
73,Machine 2,Job 23,1551,1629
74,Machine 2,Job 24,1635,1708
75,Machine 2,Job 25,1708,1747
76,Machine 2,Job 26,1784,1796
77,Machine 2,Job 27,1828,1896
78,Machine 2,Job 28,1906,1976
79,Machine 2,Job 29,1978,2047
80,Machine 2,Job 30,2048,2117
81,Machine 2,Job 31,2137,2169
82,Machine 2,Job 32,2188,2264
83,Machine 2,Job 33,2264,2317
84,Machine 2,Job 34,2374,2376
85,Machine 2,Job 35,2381,2457
86,Machine 2,Job 36,2465,2515
87,Machine 2,Job 37,2515,2606
88,Machine 2,Job 38,2642,2681
89,Machine 2,Job 39,2736,2749
90,Machine 2,Job 40,2791,2801
91,Machine 2,Job 41,2812,2881
92,Machine 2,Job 42,2903,2953
93,Machine 2,Job 43,2953,3031
94,Machine 2,Job 44,3031,3083
95,Machine 2,Job 45,3083,3120
96,Machine 2,Job 46,3120,3162
97,Machine 2,Job 47,3162,3261
98,Machine 2,Job 48,3261,3311
99,Machine 2,Job 49,3311,3400
100,Machine 2,Job 50,3454,3497
101,Machine 3,Job 1,35,41
102,Machine 3,Job 2,101,125
103,Machine 3,Job 3,137,172
104,Machine 3,Job 4,183,219
105,Machine 3,Job 5,269,307
106,Machine 3,Job 6,320,392
107,Machine 3,Job 7,392,477
108,Machine 3,Job 8,477,496
109,Machine 3,Job 9,529,611
110,Machine 3,Job 10,611,624
111,Machine 3,Job 11,671,695
112,Machine 3,Job 12,753,803
113,Machine 3,Job 13,829,877
114,Machine 3,Job 14,918,955
115,Machine 3,Job 15,955,1039
116,Machine 3,Job 16,1052,1131
117,Machine 3,Job 17,1131,1224
