Item,Machine,Job,Start,End
1,Machine 1,Job 1,0,17
2,Machine 1,Job 2,17,18
3,Machine 1,Job 3,36,39
4,Machine 1,Job 4,80,130
5,Machine 1,Job 5,166,201
6,Machine 1,Job 6,201,286
7,Machine 1,Job 7,302,347
8,Machine 1,Job 8,347,384
9,Machine 1,Job 9,426,437
10,Machine 1,Job 10,467,474
11,Machine 1,Job 11,474,527
12,Machine 1,Job 12,527,539
13,Machine 1,Job 13,558,581
14,Machine 1,Job 14,627,653
15,Machine 1,Job 15,661,708
16,Machine 1,Job 16,708,751
17,Machine 1,Job 17,757,831
18,Machine 1,Job 18,831,882
19,Machine 1,Job 19,882,918
20,Machine 1,Job 20,921,942
21,Machine 1,Job 21,965,1018
22,Machine 1,Job 22,1021,1043
23,Machine 1,Job 23,1070,1101
24,Machine 1,Job 24,1106,1134
25,Machine 1,Job 25,1134,1165
26,Machine 1,Job 26,1165,1191
27,Machine 1,Job 27,1201,1236
28,Machine 1,Job 28,1284,1298
29,Machine 1,Job 29,1348,1380
30,Machine 1,Job 30,1388,1455
31,Machine 1,Job 31,1455,1502
32,Machine 1,Job 32,1528,1570
33,Machine 1,Job 33,1627,1651
34,Machine 1,Job 34,1671,1746
35,Machine 1,Job 35,1748,1841
36,Machine 1,Job 36,1841,1913
37,Machine 1,Job 37,1913,1984
38,Machine 1,Job 38,1984,2045
39,Machine 1,Job 39,2045,2112
40,Machine 1,Job 40,2112,2128
41,Machine 1,Job 41,2141,2207
42,Machine 1,Job 42,2207,2286
43,Machine 1,Job 43,2287,2351
44,Machine 1,Job 44,2351,2422
45,Machine 1,Job 45,2422,2493
46,Machine 1,Job 46,2500,2574
47,Machine 1,Job 47,2574,2657
48,Machine 1,Job 48,2693,2714
49,Machine 1,Job 49,2724,2781
50,Machine 1,Job 50,2790,2846
51,Machine 1,Job 51,2870,2877
52,Machine 1,Job 52,2905,2951
53,Machine 1,Job 53,2995,3026
54,Machine 1,Job 54,3043,3101
55,Machine 1,Job 55,3101,3145
56,Machine 1,Job 56,3194,3221
57,Machine 1,Job 57,3221,3291
58,Machine 1,Job 58,3296,3345
59,Machine 1,Job 59,3348,3419
60,Machine 1,Job 60,3447,3459
61,Machine 1,Job 61,3476,3525
62,Machine 1,Job 62,3529,3557
63,Machine 1,Job 63,3569,3640
64,Machine 1,Job 64,3652,3720
65,Machine 1,Job 65,3722,3817
66,Machine 1,Job 66,3817,3900
67,Machine 1,Job 67,3900,3975
